"","family"
"241","Treubiaceae"
"242","Trichocoleaceae"
"243","Trichotemnomataceae"
"244","Vandiemeniaceae"
"245","Vetaformaceae"
"246","Viridivelleraceae"
"247","Wardiaceae"
"248","Wiesnerellaceae"
"249","Pelliaceae"
"250","Phyllothalliaceae"
"251","Sandeothallaceae"
"252","Moerckiaceae"
"253","Hymenophytaceae"
"254","Pallaviciniaceae"
"255","Calyculariaceae"
"256","Makinoaceae"
"257","Fossombroniaceae"
"258","Allisoniaceae"
"259","Petalophyllaceae"
"260","Pleuroziaceae"
"261","Metzgeriaceae"
"262","Aneuraceae"
"263","Porellaceae"
"264","Goebeliellaceae"
"265","Lepidolaenaceae"
"266","Radulaceae"
"267","Frullaniaceae"
"268","Jubulaceae"
"269","Lejeuneaceae"
"270","Herzogianthaceae"
"271","Ptilidiaceae"
"272","Neotrichocoleaceae"
"273","Schistochilaceae"
"274","Lophocoleaceae"
"275","Plagiochilaceae"
"276","Lepicoleaceae"
"277","Lepidoziaceae"
"278","Pseudolepicoleaceae"
"279","Blepharostomataceae"
"280","Trichocoleaceae"
"281","Grolleaceae"
"282","Mastigophoraceae"
"283","Herbertaceae"
"284","Cephaloziineae"
"285","Adelanthaceae"
"286","Anastrophyllaceae"
"287","Cephaloziaceae"
"288","Cephaloziellaceae"
"289","Scapaniaceae"
"290","Lophoziaceae"
"291","Myliaceae"
"292","Arnelliaceae"
"293","Blepharidophyllaceae"
"294","Endogemmataceae"
"295","Harpanthaceae"
"296","Hygrobiellaceae"
"297","Jackiellaceae"
"298","Notoscyphaceae"
"299","Saccogynaceae"
"300","Southbyaceae"
"301","Trichotemnomataceae"
"302","Balantiopsidaceae"
"303","Chonecoleaceae"
"304","Brevianthaceae"
"305","Geocalycaceae"
"306","Gyrothyraceae"
"307","Solenostomataceae"
"308","Stephaniellaceae"
"309","Acrobolbaceae"
"310","Calypogeiaceae"
"311","Jungermanniaceae"
"312","Antheliaceae"
"313","Gymnomitriaceae"
